Symbol,Company_Name,Earnings_Date,Time,Days_Until,Priority,Status
AAPL,Apple Inc.,2025-08-14,AMC,+2,⚡ HIGH,HAS_EARNINGS
AMD,Advanced Micro Devices,2025-09-06,AMC,+25,📅 LOW,HAS_EARNINGS
AMZN,Amazon.com Inc.,2025-08-24,AMC,+12,📊 MEDIUM,HAS_EARNINGS
ARKK,,,,,🔧 MAINTENANCE,NO_EARNINGS
COST,,,,,🔧 MAINTENANCE,NO_EARNINGS
CRM,Salesforce Inc.,2025-09-09,AMC,+28,📅 LOW,HAS_EARNINGS
DIS,,,,,🔧 MAINTENANCE,NO_EARNINGS
GLD,,,,,🔧 MAINTENANCE,NO_EARNINGS
GOOGL,Alphabet Inc.,2025-08-17,AMC,+5,⚡ HIGH,HAS_EARNINGS
HD,,,,,🔧 MAINTENANCE,NO_EARNINGS
IWM,,,,,🔧 MAINTENANCE,NO_EARNINGS
KO,,,,,🔧 MAINTENANCE,NO_EARNINGS
LOW,,,,,🔧 MAINTENANCE,NO_EARNINGS
MCD,,,,,🔧 MAINTENANCE,NO_EARNINGS
META,Meta Platforms Inc.,2025-08-30,AMC,+18,📅 LOW,HAS_EARNINGS
MSFT,Microsoft Corp.,2025-08-20,AMC,+8,📊 MEDIUM,HAS_EARNINGS
NFLX,Netflix Inc.,2025-09-03,AMC,+22,📅 LOW,HAS_EARNINGS
NVDA,NVIDIA Corp.,2025-08-15,AMC,+3,⚡ HIGH,HAS_EARNINGS
PEP,,,,,🔧 MAINTENANCE,NO_EARNINGS
QQQ,,,,,🔧 MAINTENANCE,NO_EARNINGS
SBUX,,,,,🔧 MAINTENANCE,NO_EARNINGS
SPY,,,,,🔧 MAINTENANCE,NO_EARNINGS
TGT,,,,,🔧 MAINTENANCE,NO_EARNINGS
TLT,,,,,🔧 MAINTENANCE,NO_EARNINGS
TSLA,Tesla Inc.,2025-08-27,AMC,+15,📅 LOW,HAS_EARNINGS
WMT,,,,,🔧 MAINTENANCE,NO_EARNINGS
XLE,,,,,🔧 MAINTENANCE,NO_EARNINGS
XLF,,,,,🔧 MAINTENANCE,NO_EARNINGS
XLK,,,,,🔧 MAINTENANCE,NO_EARNINGS
XLV,,,,,🔧 MAINTENANCE,NO_EARNINGS
