Symbol,Company_Name,Earnings_Date,Time,Priority,Notes
# INSTRUCTIONS:,# Fill earnings dates in YYYY-MM-DD format,"# Time: bmo, amc, or dmt",# Leave blank if no earnings,# Priority will be auto-calculated,
AAPL,,,,,
AMD,,,,,
AMZN,,,,,
ARKK,,,,,
COST,,,,,
CRM,,,,,
DIS,,,,,
GLD,,,,,
GOOGL,,,,,
HD,,,,,
IWM,,,,,
KO,,,,,
LOW,,,,,
MCD,,,,,
META,,,,,
MSFT,,,,,
NFLX,,,,,
NVDA,,,,,
PEP,,,,,
QQQ,,,,,
SBUX,,,,,
SPY,,,,,
TGT,,,,,
TLT,,,,,
TSLA,,,,,
WMT,,,,,
XLE,,,,,
XLF,,,,,
XLK,,,,,
XLV,,,,,
