date,symbol,company_name,time,consensus,no_of_estimates,market_cap,last_year_eps,last_year_rpt_dt,surprise_percent
2025-08-12,SE,,time-pre-market,,3,"$86,571,074,949",$0.14,8/13/2024,
2025-08-12,CRWV,,time-after-hours,,2,"$67,091,203,651",N/A,N/A,
2025-08-12,CAH,,time-pre-market,,8,"$37,629,816,608",$1.84,8/14/2024,
2025-08-12,CRCL,,time-pre-market,,2,"$35,544,450,335",N/A,N/A,
2025-08-12,TME,,time-pre-market,,2,"$35,160,132,241",$0.15,8/13/2024,
2025-08-12,ONON,,time-pre-market,,5,"$29,020,031,302",$0.10,8/13/2024,
2025-08-12,EC,,time-after-hours,,2,"$17,536,270,290",$0.42,8/14/2024,
2025-08-12,NBIS,,time-not-supplied,,2,"$16,724,764,289",$0.68,7/30/2024,
2025-08-12,SPMC,,time-pre-market,,2,"$9,798,028,983",N/A,N/A,
2025-08-12,CAVA,,time-after-hours,,8,"$9,518,815,449",$0.17,8/22/2024,
2025-08-12,CAI,,time-after-hours,,2,"$8,566,202,139",N/A,N/A,
2025-08-12,LITE,,time-after-hours,,6,"$7,983,082,000",($0.39),8/14/2024,
2025-08-12,HRB,,time-after-hours,,3,"$7,289,788,542",$1.89,8/15/2024,
2025-08-12,PHI,,time-not-supplied,,N/A,"$4,951,998,363",$0.67,8/13/2024,
2025-08-12,MSGS,,time-pre-market,,3,"$4,863,086,280",$1.06,8/13/2024,
2025-08-12,RGTI,,time-after-hours,,2,"$4,639,359,766",($0.07),8/08/2024,
2025-08-12,ETOR,,time-pre-market,,2,"$4,472,306,928",N/A,N/A,
2025-08-12,ECG,,time-after-hours,,2,"$3,614,850,301",N/A,N/A,
2025-08-12,ORLA,,time-pre-market,,3,"$3,348,779,837",$0.07,8/12/2024,
2025-08-12,INTA,,time-after-hours,,6,"$2,885,244,754",$0.04,8/13/2024,
2025-08-12,PDCC,,time-not-supplied,,2,"$2,753,112,049",N/A,N/A,
2025-08-12,SOC,,time-not-supplied,,3,"$2,601,034,584",($2.75),8/13/2024,
2025-08-12,IHS,,time-pre-market,,1,"$2,247,391,915",$0.04,8/13/2024,
2025-08-12,CNTA,,time-not-supplied,,6,"$2,219,407,836",($0.40),8/13/2024,
2025-08-12,SLDE,,time-after-hours,,2,"$2,183,847,806",N/A,N/A,
2025-08-12,LQDA,,time-pre-market,,6,"$1,812,271,930",($0.37),8/07/2024,
2025-08-12,BKV,,time-pre-market,,2,"$1,699,249,962",N/A,N/A,
2025-08-12,SA,,time-not-supplied,,2,"$1,672,031,986",$0.37,N/A,
2025-08-12,TWFG,,time-after-hours,,4,"$1,522,451,020",$14.89,8/27/2024,
2025-08-12,WBTN,,time-after-hours,,1,"$1,189,925,504",$0.20,8/08/2024,
2025-08-12,GRAL,,time-after-hours,,1,"$1,175,973,519",($5.30),8/13/2024,
2025-08-12,KLC,,time-after-hours,,2,"$1,136,400,919",N/A,N/A,
2025-08-12,NVGS,,time-after-hours,,1,"$1,088,155,121",$0.34,8/14/2024,
2025-08-12,PLSE,,time-after-hours,,2,"$1,001,035,067",N/A,N/A,
2025-08-12,AVXL,,time-pre-market,,1,"$968,970,520",($0.14),8/06/2024,
2025-08-12,ELVN,,time-not-supplied,,3,"$888,889,609",($0.41),8/13/2024,
2025-08-12,MLYS,,time-after-hours,,4,"$859,662,036",($0.83),8/13/2024,
